"Product","Status","Automotive Recommended","Description","# per Package","GBWP (kHz)","Iq Typical (µA)","Iq Max (µA)","Vos Max (µV)","Operating Voltage Range (V) ","Input Voltage Noise Density (nV/rt(Hz))","PSRR Min (dB)","CMRR Min (dB)","ΔVos/ΔTa (µV/°C)","Ib (pA)","Aol (dB)","PM (deg)","Isc (mA)","Rail-To-Rail","Unity Gain Stable","Slew Rate (V/µS)","EMI Protection","Packages","5K Pricing"
"MCP625"," In Production "," Yes"," Linear Op Amps"," 2"," 20000"," 2500"," 3600"," 200"," ""2.5 - 5.5"""," 13"," 61"," 65"," 2"," 5"," 117"," 60"," 70"," Out"," Yes"," 10","  "," 10/DFN 10/MSOP","$1.29"
"MCP624"," In Production "," Yes"," Linear Op Amps"," 4"," 20000"," 2500"," 3600"," 200"," ""2.5 - 5.5"""," 13"," 61"," 65"," 2"," 5"," 117"," 60"," 70"," Out"," Yes"," 10","  "," 14/TSSOP 14/SOIC 150mil","$1.85"
"MCP629"," In Production "," Yes"," Linear Op Amps"," 4"," 20000"," 2500"," 3600"," 200"," ""2.5 - 5.5"""," 13"," 61"," 65"," 2"," 5"," 117"," 60"," 70"," Out"," Yes"," 10","  "," 16/QFN","$1.96"
"MCP631"," In Production "," Yes"," Linear Op Amps"," 1"," 24000"," 2500"," 3600"," 8000"," ""2.5 - 5.5"""," 10"," 61"," 63"," 2"," 4"," 115"," 65"," 70"," Out"," Yes"," 10","  "," 8/SOIC 150mil 5/SOT-23 8/TDFN","$0.57"
"MCP633"," In Production "," Yes"," Linear Op Amps"," 1"," 24000"," 2500"," 3600"," 8000"," ""2.5 - 5.5"""," 10"," 61"," 63"," 2"," 4"," 115"," 65"," 70"," Out"," Yes"," 10","  "," 8/SOIC 150mil 6/SOT-23","$0.60"
"MCP632"," In Production "," Yes"," Linear Op Amps"," 2"," 24000"," 2500"," 3600"," 8000"," ""2.5 - 5.5"""," 10"," 61"," 63"," 2"," 4"," 115"," 65"," 70"," Out"," Yes"," 10","  "," 8/SOIC 150mil 8/DFN","$0.75"
"MCP635"," In Production "," Yes"," Linear Op Amps"," 2"," 24000"," 2500"," 3600"," 8000"," ""2.5 - 5.5"""," 10"," 61"," 63"," 2"," 4"," 115"," 65"," 70"," Out"," Yes"," 10","  "," 10/DFN 10/MSOP","$0.81"
"MCP634"," In Production "," Yes"," Linear Op Amps"," 4"," 24000"," 2500"," 3600"," 8000"," ""2.5 - 5.5"""," 10"," 61"," 63"," 2"," 4"," 115"," 65"," 70"," Out"," Yes"," 10","  "," 14/TSSOP 14/SOIC 150mil","$1.15"
"MCP639"," In Production "," Yes"," Linear Op Amps"," 4"," 24000"," 2500"," 3600"," 8000"," ""2.5 - 5.5"""," 10"," 61"," 63"," 2"," 4"," 115"," 65"," 70"," Out"," Yes"," 10","  "," 16/QFN","$1.19"
"MCP651S"," In Production "," Yes"," Linear Op Amps"," 1"," 50000"," 6000"," 9000"," 200"," ""2.5 - 5.5"""," 7.5"," 61"," 66"," 2.5"," 6"," 114"," 65"," 95"," Out"," Yes"," 30","  "," 5/SOT-23","$1.15"
"MCP653"," In Production "," Yes"," Linear Op Amps"," 1"," 50000"," 6000"," 9000"," 200"," ""2.5 - 5.5"""," 7.5"," 61"," 66"," 2.5"," 6"," 114"," 65"," 95"," Out"," Yes"," 30","  "," 6/SOT-23","$1.18"
"MCP651"," In Production "," Yes"," Linear Op Amps"," 1"," 50000"," 6000"," 9000"," 200"," ""2.5 - 5.5"""," 7.5"," 61"," 66"," 2.5"," 6"," 114"," 65"," 95"," Out"," Yes"," 30","  "," 8/SOIC 150mil 8/TDFN","$1.22"
"MCP652"," In Production "," Yes"," Linear Op Amps"," 2"," 50000"," 6000"," 9000"," 200"," ""2.5 - 5.5"""," 7.5"," 61"," 66"," 2.5"," 6"," 114"," 65"," 95"," Out"," Yes"," 30","  "," 8/SOIC 150mil 8/DFN","$1.51"
"MCP655"," In Production "," Yes"," Linear Op Amps"," 2"," 50000"," 6000"," 9000"," 200"," ""2.5 - 5.5"""," 7.5"," 61"," 66"," 2.5"," 6"," 114"," 65"," 95"," Out"," Yes"," 30","  "," 10/DFN 10/MSOP","$1.61"
"MCP654"," In Production "," Yes"," Linear Op Amps"," 4"," 50000"," 6000"," 9000"," 200"," ""2.5 - 5.5"""," 7.5"," 61"," 66"," 2.5"," 6"," 114"," 65"," 95"," Out"," Yes"," 30","  "," 14/TSSOP 14/SOIC 150mil","$2.28"
"MCP659"," In Production "," Yes"," Linear Op Amps"," 4"," 50000"," 6000"," 9000"," 200"," ""2.5 - 5.5"""," 7.5"," 61"," 66"," 2.5"," 6"," 114"," 65"," 95"," Out"," Yes"," 30","  "," 16/QFN","$2.37"
"MCP661"," In Production "," Yes"," Linear Op Amps"," 1"," 60000"," 6000"," 9000"," 8000"," ""2.5 - 5.5"""," 6.8"," 61"," 66"," 2"," 6"," 126"," 65"," 90"," Out"," Yes"," 32","  "," 8/SOIC 150mil 5/SOT-23 8/TDFN","$0.72"
"MCP663"," In Production "," Yes"," Linear Op Amps"," 1"," 60000"," 6000"," 9000"," 8000"," ""2.5 - 5.5"""," 6.8"," 61"," 66"," 2"," 6"," 126"," 65"," 90"," Out"," Yes"," 32","  "," 8/SOIC 150mil 6/SOT-23","$0.74"
"MCP662"," In Production "," Yes"," Linear Op Amps"," 2"," 60000"," 6000"," 9000"," 8000"," ""2.5 - 5.5"""," 6.8"," 61"," 66"," 2"," 6"," 126"," 65"," 90"," Out"," Yes"," 32","  "," 8/SOIC 150mil 8/MSOP 8/DFN","$0.93"
"MCP665"," In Production "," Yes"," Linear Op Amps"," 2"," 60000"," 6000"," 9000"," 8000"," ""2.5 - 5.5"""," 6.8"," 61"," 66"," 2"," 6"," 126"," 65"," 90"," Out"," Yes"," 32","  "," 10/DFN 10/MSOP","$1.01"
"MCP660"," In Production "," Yes"," Linear Op Amps"," 3"," 60000"," 6000"," 9000"," 8000"," ""2.5 - 5.5"""," 6.8"," 61"," 66"," 2"," 6"," 126"," 65"," 90"," Out"," Yes"," 32","  "," 14/TSSOP 14/SOIC 150mil 16/QFN","$1.24"
"MCP664"," In Production "," Yes"," Linear Op Amps"," 4"," 60000"," 6000"," 9000"," 8000"," ""2.5 - 5.5"""," 6.8"," 61"," 66"," 2"," 6"," 126"," 65"," 90"," Out"," Yes"," 32","  "," 14/TSSOP 14/SOIC 150mil","$1.42"
"MCP669"," In Production "," Yes"," Linear Op Amps"," 4"," 60000"," 6000"," 9000"," 8000"," ""2.5 - 5.5"""," 6.8"," 61"," 66"," 2"," 6"," 126"," 65"," 90"," Out"," Yes"," 32","  "," 16/QFN","$1.47"
"MIC920"," In Production "," No"," Linear Op Amps"," 1"," 80000"," 550"," 800"," 5000"," ""5.0 - 18"""," 10"," 95"," 60"," 0"," 260000"," 84"," 30"," 65","  "," Yes"," 3000"," No"," 5/SC70","$0.24"
